Unnamed: 0.1,Unnamed: 0,name,latitude,longitude
113,113,Boodle Inasal - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.607157,120.987687
114,114,Paotsin - Good Earth Plaza Mall [Available for LONG-DISTANCE DELIVERY],14.59980821,120.9811871
115,115,Red Ribbon - Binondo,14.5982956,120.9757438
116,116,Sukiya - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590312,120.983149
117,117,Mang Inasal - Quezon Boulevard,14.6007871,120.9844008
118,118,Fruitas - Youniversity Suites Recto [Available for LONG-DISTANCE DELIVERY],14.60102784,120.9899367
119,119,Ate Rica's Bacsilog - Shopper's Mart [Available for LONG-DISTANCE DELIVERY],14.600689,120.975685
120,120,Turks - Recto,14.601017,120.989913
121,121,Potato Corner - Isetann Recto,14.602955,120.984146
122,122,Kyu Kyu Ramen 99 - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5902886,120.9833111
123,123,Tasty Dumplings - Condesa [Available for LONG-DISTANCE DELIVERY],14.600781,120.974841
124,124,Chuan Kee Turo Turo - Ongpin Street [Available for LONG-DISTANCE DELIVERY],14.60044895128205,120.9755047
125,125,Ling Nam - Alonzo [Available for LONG DISTANCE DELIVERY],14.6022232,120.9785885
126,126,Minute Burger - Gastambide [Available for LONG-DISTANCE DELIVERY],14.6025839,120.9904756
127,127,David's Tea House - Sta. Cruz [Available for LONG-DISTANCE DELIVERY],14.60081561,120.9792872
128,128,24 Chicken - Espana [Available for LONG-DISTANCE DELIVERY],14.6064864,120.9896774
129,129,McDonald's - Good Earth,14.59968074,120.9813703
130,130,Jollibee - Raon,14.600723,120.984396
131,131,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.5972994,120.9780227
132,132,KFC - Good Earth,14.599339283333334,120.98126608333332
133,133,BonChon - Legarda [Available for LONG-DISTANCE DELIVERY],14.5997547,120.9904516
134,134,Andok's Dine-In - Quiapo,14.6017109,120.9850132
135,135,Lola Nena's - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
136,136,Chowking - Paterno,14.5994997,120.98417191111112
137,137,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622555,120.9900343411054
138,138,Farinas Ilocos Empanada - Quiapo [Available for LONG-DISTANCE DELIVERY],14.600459,120.983485
139,139,Greenwich - Isetann Recto,14.602752,120.984799
140,140,Andok's - Carriedo,14.5990063,120.9814594
141,141,Starbucks - I Tower P Noval,14.607214122737872,120.98886850526878
142,142,S&R New York Style Pizza - SM Manila,14.5901269,120.98368076666668
143,143,Hot Star Large Fried Chicken - Laperal [Available for LONG-DISTANCE DELIVERY],14.6009775,120.9899533
